base_price,discounted_price,product_name,category,brand,description
1.09,1.09,Cool Fruits Pomme Acérola 90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme acérola 90G Bio.
3.1,3.1,Twibio Myrtilles 150g Bio,Epicerie sucrée,Moulin du pivert,Twibio Myrtilles 150G Bio.
1.09,1.09,Cool Fruits Pomme Poire 90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme Poire 90G Bio.
1.09,1.09,Cool Fruits Pomme Banane 90g Bio,Epicerie sucrée,Vitabio,Cool Fruits Pomme Banane 90G Bio.
1.09,1.09,Cool Fruits Rouges 90g Bio,Epicerie sucrée,Vitabio,Dessert de Fruits Bio au concentré de fruits.
1.99,1.99,Bouteilles Cola 100g Bio,Enfant,Okovital,Gomme fruitée biologique au goût de cola bio.
2.99,2.99,Riz Complet Soufflé Sans Sucres Ajoutés 200g Bio,Epicerie sucrée,Grillon d'or, Riz complet soufflé sans sucres ajoutés 200G Bio.
1.99,1.99,Nounours Sans Gélatine 100g Bio,Enfant,Okovital,"Confiserie fruitée sans gélatine, avec 3,7% de concentré de jus de fruit bio correspondant à une teneur en jus de fruit de 23,65%."
1.99,1.99,Bonbons En Frites 100g Bio,Enfant,Okovital,"Confiserie fruitée avec 3,57% de concentré de jus de fruit bio correspondant à une teneur en jus de fruit de 21,33%."
3.49,3.49,Lunettes à La Fraise 200g Bio,Epicerie sucrée,Bonneterre,Lunettes à La Fraise 200G Bio.
4.59,4.59,Dani'pom Purée Pomme Banane Sans Sucres Ajoutés 700g Bio,Epicerie sucrée,Danipom,Purée Pomme Banane sans sucres ajoutés 700G Bio.
4.59,4.59,Lait D'amande Matcha 1l Bio,Boissons,La mandorle,"De couleur vert tendre, ce lait d'Amande au thé Matcha bénéficie d'une harmonie gustative et nutritionnelle unique grâce à un équilibre d'ingrédients particulièrement sélectionnés."
2.7,2.7,Bouillon De Légumes Sans Sel 68g Bio,Epicerie Salée,Rapunzel,Bouillon de Légumes sans sel 68G Bio.
3.99,3.99,Muesli Nature Sans Gluten 500g Bio,Epicerie sucrée,Favrichon,Muesli croustillant nature sans gluten
5.15,5.15,Muesli Choco Sans Gluten 500g Bio,Epicerie sucrée,Favrichon,Muesli BIO Croustillant : Chocolat
2.99,2.99,Tortiglioni Aux 4 Céréales Sans Gluten 340g Bio,Epicerie Salée,Felicia,Les pâtes Felicia bio sont produites à partir de céréales issues de l'agriculture biologique et sont adaptées aux personnes intolérantes au gluten.
6.05,6.05,Muesli Miel Sarrasin Sans Gluten 500g Bio,Epicerie sucrée,Favrichon,"Muesli Miel & Sarrasin, sans gluten 500G Bio."
